Order_ID,Customer_ID,Product_ID,Seller_ID,Order_Date,Quantity,Payment_Method,Order_Status,Delivery_Days,Discount,Total_Amount,Profit
58,943,1338,300,2024-01-05,3,Debit Card,Cancelled,2,185,9768,3894
59,4234,1238,25,2024-06-30,3,UPI,Delivered,4,118,4176,552
60,1332,1011,133,2024-08-22,3,COD,Delivered,3,289,9276,2718
61,4823,529,144,2024-03-18,3,Wallet,Delivered,3,57,7035,2340
62,2852,1262,145,2024-09-29,1,UPI,Delivered,4,253,2219,747
63,2455,868,281,2024-05-11,1,COD,Delivered,8,91,1987,516
64,326,1222,206,2024-03-09,2,UPI,Cancelled,6,131,6242,2332
65,1889,1264,76,2024-01-21,1,Credit Card,Delivered,4,11,563,229
66,4182,95,8,2024-03-23,2,COD,Delivered,4,135,2788,1052
67,1397,153,80,2024-05-03,2,Credit Card,Delivered,2,33,5292,2090
68,4041,922,127,2024-03-12,2,UPI,Delivered,3,64,1166,498
69,4075,1193,239,2024-08-02,2,COD,Delivered,6,248,4642,1874
70,3730,538,157,2025-02-27,3,Debit Card,Delivered,7,78,3186,507
71,633,602,252,2024-02-09,1,Debit Card,Delivered,2,141,1151,429
72,795,573,109,2024-12-06,3,Debit Card,Delivered,2,34,8082,2619
73,2334,826,182,2024-04-10,2,Debit Card,Delivered,2,300,5306,1026
74,860,1433,291,2024-06-06,2,Debit Card,Delivered,3,15,2510,658
75,3336,841,13,2024-05-02,2,Wallet,Delivered,5,64,642,214
76,2159,79,243,2024-09-27,3,COD,Returned,4,215,3942,1257
77,4388,1145,77,2024-11-01,2,UPI,Cancelled,6,25,6400,2668
78,4869,1325,185,2025-02-28,3,Wallet,Delivered,5,253,3171,1098
79,4768,1353,19,2024-02-26,2,Wallet,Delivered,3,207,4958,1220
80,2424,384,289,2024-04-25,2,COD,Delivered,7,111,4800,1970
81,4998,1344,294,2024-08-29,2,COD,Delivered,8,165,5338,1352
82,1948,1217,48,2024-08-01,2,Credit Card,Delivered,4,161,3490,1468
83,4326,924,40,2024-03-01,1,Credit Card,Delivered,4,186,3396,1335
84,1693,1252,253,2024-04-02,1,Wallet,Delivered,2,222,2731,898
85,1269,1244,148,2024-12-21,3,Wallet,Delivered,2,205,2037,468
86,896,1289,160,2024-10-27,1,Credit Card,Delivered,7,123,1562,431
87,4444,85,74,2025-01-08,1,Credit Card,Delivered,7,209,2351,737
88,3309,192,163,2025-02-07,1,Credit Card,Delivered,5,235,3189,913
89,4981,85,74,2025-01-28,1,Wallet,Delivered,6,130,2351,737
90,4930,571,204,2024-11-05,1,COD,Cancelled,7,192,3347,1437
91,3270,953,17,2025-03-26,2,UPI,Delivered,4,42,4690,1976
92,4564,1072,218,2024-04-03,3,Debit Card,Delivered,6,205,2025,303
93,1086,366,90,2024-11-03,3,Debit Card,Delivered,3,261,11004,3747
94,4277,1465,179,2025-06-13,3,Wallet,Delivered,2,0,6300,1812
95,4096,853,51,2024-05-20,2,Credit Card,Delivered,3,40,3716,1146
96,1542,1371,125,2024-09-08,2,UPI,Cancelled,2,229,4578,678
97,3288,267,137,2024-02-09,3,Debit Card,Delivered,4,44,9543,3960
98,571,725,154,2024-03-15,2,Debit Card,Delivered,7,63,4328,1348
99,3925,1498,137,2024-07-19,2,Debit Card,Delivered,7,239,2506,356
100,1219,320,113,2024-03-10,3,UPI,Delivered,7,238,999,255
101,4602,1151,149,2024-07-03,2,COD,Delivered,7,88,3060,1328
102,4993,915,253,2024-05-05,3,Wallet,Delivered,8,76,342,87
103,2954,210,157,2024-06-07,2,Credit Card,Returned,3,196,2428,508
104,1349,514,205,2024-03-16,3,Debit Card,Delivered,5,101,7914,2625
105,4054,1107,176,2024-05-01,1,Wallet,Delivered,3,235,3325,1256
106,73,1011,133,2025-02-26,2,UPI,Delivered,3,285,6184,1812
107,4500,253,274,2024-11-09,3,Debit Card,Delivered,7,227,909,156
108,1707,1066,286,2024-08-23,2,COD,Delivered,2,276,2902,1216
109,4786,1012,294,2024-12-14,1,Wallet,Delivered,5,212,2953,1155
110,1084,1361,260,2024-08-18,1,Wallet,Cancelled,7,23,3412,1332
111,2380,1483,9,2024-10-18,1,Debit Card,Delivered,6,259,2362,848
112,4124,339,36,2025-05-22,3,Wallet,Delivered,7,190,7458,2529
113,1714,636,27,2024-07-04,3,Debit Card,Delivered,7,135,8244,3555
114,4165,236,78,2025-02-11,2,Credit Card,Delivered,7,259,6008,1496
115,1561,237,106,2024-09-06,2,Wallet,Delivered,3,29,2270,890
116,2504,1481,286,2024-12-06,2,UPI,Delivered,6,164,6924,2454
117,51,559,71,2024-05-13,2,Credit Card,Delivered,3,55,4564,1166
118,1071,1098,72,2024-02-03,2,Wallet,Delivered,7,134,1452,278
119,1444,1018,6,2024-12-11,1,COD,Delivered,2,238,1744,422
120,4827,247,204,2024-03-02,3,Credit Card,Delivered,8,103,9438,2229
121,556,759,299,2024-02-25,3,Wallet,Delivered,8,91,2052,651
122,3504,850,270,2024-12-15,3,Debit Card,Delivered,5,24,7395,3234
123,1860,1236,150,2025-02-02,2,UPI,Delivered,2,191,7914,3418
124,1395,1366,233,2024-05-21,2,Wallet,Cancelled,7,185,2500,1044
125,3592,392,242,2024-12-15,1,UPI,Delivered,5,120,413,79
126,1706,913,169,2024-11-21,1,UPI,Delivered,7,144,1514,577
127,305,1062,67,2024-11-14,2,Debit Card,Returned,5,264,2340,516
128,2367,7,214,2024-12-19,1,UPI,Delivered,8,47,1015,309
129,1611,915,253,2025-03-26,2,UPI,Delivered,8,221,228,58
130,1573,1174,222,2024-12-05,3,Debit Card,Delivered,2,59,7578,3123
131,547,1126,168,2025-05-01,2,COD,Delivered,5,160,4042,616
132,4629,767,280,2025-03-29,2,COD,Delivered,4,67,6354,1538
133,2842,1230,46,2024-01-10,1,COD,Delivered,7,190,1123,257
134,3551,1429,270,2024-12-25,3,Credit Card,Delivered,2,74,9246,3258
135,3514,321,286,2024-07-28,1,Credit Card,Delivered,5,257,2857,522
136,447,829,293,2024-06-12,3,COD,Delivered,6,217,11292,3975
137,197,1320,264,2025-01-15,3,Wallet,Delivered,5,74,12204,5361
138,3577,1034,182,2024-03-29,2,Wallet,Delivered,2,183,6688,2162
139,3413,222,4,2025-06-12,3,Debit Card,Delivered,7,97,8667,1332
140,2055,903,245,2024-04-27,3,COD,Delivered,8,177,6006,1530
141,1252,749,50,2025-01-27,1,UPI,Cancelled,5,48,2959,651
142,377,360,298,2024-06-25,2,COD,Delivered,6,215,2772,414
143,233,511,210,2025-04-04,1,Wallet,Cancelled,3,145,677,195
144,4701,492,88,2025-06-12,2,Debit Card,Returned,7,110,4086,1226
145,1548,1196,293,2024-05-29,1,Debit Card,Delivered,2,217,1455,492
146,4453,1168,254,2024-11-09,1,Debit Card,Delivered,6,273,2105,575
147,4956,1170,295,2024-01-29,3,Wallet,Delivered,8,283,4788,1119
148,4627,253,274,2024-07-05,2,Wallet,Delivered,2,73,606,104
149,867,801,189,2024-07-06,1,Debit Card,Returned,8,57,2726,1200
150,2608,1161,295,2024-08-29,2,Debit Card,Delivered,3,187,4672,972
151,3297,1234,241,2024-05-13,1,UPI,Delivered,2,261,1258,265
152,725,843,167,2024-08-01,2,Wallet,Delivered,6,75,6080,1268
153,2876,508,261,2024-06-25,1,COD,Delivered,3,134,522,134
154,376,1218,92,2025-05-05,3,Debit Card,Delivered,3,214,10545,4005
155,3534,210,157,2025-03-29,1,Wallet,Delivered,4,201,1214,254
156,2129,817,63,2024-10-07,1,Debit Card,Delivered,7,39,443,133
157,1027,1079,275,2024-11-13,2,Debit Card,Delivered,6,296,4032,1474
158,4358,301,226,2025-04-04,3,Wallet,Cancelled,5,252,3279,762
159,4633,661,246,2025-06-21,1,Credit Card,Delivered,6,46,497,168
160,4848,696,10,2024-12-19,1,UPI,Delivered,4,10,2595,706
161,3442,881,220,2025-05-29,2,COD,Delivered,4,12,6112,2482
162,175,718,295,2025-05-09,1,Credit Card,Delivered,7,102,4248,1825
163,1488,180,240,2024-07-03,2,UPI,Delivered,4,100,6026,2542
164,2472,1142,28,2025-03-10,2,Debit Card,Delivered,7,262,5952,1114
165,698,580,294,2024-03-24,2,Wallet,Delivered,7,251,5286,1284
166,558,1183,248,2025-05-06,3,Wallet,Delivered,7,176,10935,4713
167,2267,160,38,2025-06-10,1,Credit Card,Delivered,8,86,3362,1043
168,4586,362,196,2025-01-08,3,Credit Card,Delivered,8,103,10290,3855
169,1299,1311,3,2024-12-26,2,UPI,Delivered,3,84,7444,3126
170,1105,300,162,2025-06-22,3,UPI,Delivered,5,227,4761,1656
171,4599,1272,100,2025-02-13,1,COD,Delivered,2,21,336,136
172,3519,898,209,2025-06-16,3,Wallet,Delivered,3,51,5550,1764
173,571,938,284,2024-08-07,3,Credit Card,Delivered,8,272,1890,471
174,602,857,201,2025-03-04,2,Wallet,Delivered,7,283,3674,832
175,3948,943,160,2024-11-03,2,COD,Delivered,8,171,3698,1006
176,1035,143,14,2024-04-13,2,UPI,Cancelled,7,202,6546,1878
177,586,957,164,2025-06-01,1,UPI,Returned,4,201,1827,778
178,4194,269,92,2024-08-07,1,Credit Card,Delivered,5,148,2759,621
179,3631,332,277,2025-01-05,3,Wallet,Delivered,4,219,4785,2079
180,943,718,295,2024-10-22,3,Wallet,Delivered,4,195,12744,5475
181,1126,1202,63,2025-04-26,2,UPI,Delivered,5,224,2314,522
182,2010,14,149,2025-05-18,1,COD,Delivered,2,165,3126,949
183,2871,66,214,2025-06-09,2,Debit Card,Delivered,7,122,3318,534
184,2909,761,129,2024-10-31,3,Credit Card,Delivered,6,22,5835,2166
185,4163,537,181,2024-02-21,1,Debit Card,Delivered,2,41,2153,544
186,164,1428,166,2024-02-12,3,Wallet,Delivered,8,162,9351,3798
187,2364,887,295,2025-04-04,3,Credit Card,Delivered,5,77,7545,3009
188,3057,1045,192,2024-08-24,1,Credit Card,Delivered,6,42,1786,420
189,810,782,192,2024-07-04,2,UPI,Delivered,8,126,2476,980
190,2677,854,214,2024-11-10,2,Debit Card,Delivered,4,229,3674,1604
191,1544,97,225,2024-06-08,3,Wallet,Cancelled,3,195,10761,4089
192,1409,1279,12,2024-04-20,2,UPI,Delivered,8,140,2516,1080
193,4773,724,113,2024-11-10,3,Debit Card,Delivered,3,26,8292,3183
194,3097,713,206,2025-03-03,2,Debit Card,Delivered,7,90,1030,140
195,3232,1483,9,2025-04-08,1,COD,Delivered,2,148,2362,848
196,1722,1069,226,2025-01-30,3,Debit Card,Delivered,3,243,4233,1521
197,3633,508,261,2024-02-12,1,COD,Delivered,5,262,522,134
198,15,286,34,2024-08-20,2,Debit Card,Delivered,5,35,6552,2162
199,3553,624,254,2024-12-27,1,Credit Card,Cancelled,7,220,2135,571
200,4610,909,134,2025-05-27,1,Debit Card,Delivered,5,118,121,35
201,4286,118,43,2025-01-28,1,Credit Card,Delivered,3,82,606,165
202,855,687,242,2024-08-10,2,UPI,Returned,7,251,3200,836
203,86,855,51,2024-01-18,3,Debit Card,Delivered,3,248,8916,3048
204,4114,949,117,2024-02-22,1,Wallet,Cancelled,8,159,2965,500
205,2473,1317,10,2025-03-17,1,Debit Card,Delivered,2,89,406,105
206,3376,1058,150,2024-11-03,1,Debit Card,Delivered,2,265,205,69
207,2301,1279,12,2024-03-26,3,COD,Delivered,5,285,3774,1620
208,1875,302,42,2025-04-15,2,Wallet,Delivered,5,6,3944,568
209,3493,1484,130,2024-11-13,2,Debit Card,Delivered,7,102,616,226
210,1717,1062,67,2024-04-12,1,Debit Card,Delivered,6,210,1170,258
211,1268,1081,115,2024-02-18,1,Debit Card,Delivered,6,50,2250,537
212,2633,149,43,2024-11-29,2,Wallet,Delivered,8,42,6382,1624
213,3409,921,79,2024-02-14,2,COD,Delivered,6,221,3424,1150
214,2148,815,264,2024-01-01,1,Debit Card,Returned,8,200,2124,865
215,1571,195,73,2024-08-04,3,Wallet,Delivered,3,123,8985,3456
216,1205,100,10,2025-06-22,2,Debit Card,Delivered,5,96,4230,946
217,4298,1041,226,2025-05-06,1,Credit Card,Delivered,2,167,2822,891
218,4417,1012,294,2025-01-16,3,UPI,Delivered,4,151,8859,3465
219,3171,1393,160,2024-07-18,2,Credit Card,Delivered,8,280,782,346
220,611,1387,126,2025-04-13,1,Debit Card,Delivered,8,9,475,102
221,3872,198,199,2024-01-08,3,Wallet,Delivered,4,279,1164,360
222,4704,1280,141,2024-08-25,3,COD,Returned,6,216,8094,2829
223,3638,357,25,2025-01-25,2,COD,Delivered,4,3,4692,1848
224,3022,477,150,2024-03-15,3,Wallet,Delivered,3,29,372,96
225,1096,589,192,2024-12-19,2,Credit Card,Delivered,3,241,2822,674
226,986,1398,166,2025-04-26,3,UPI,Delivered,5,117,4635,1356
227,4608,888,22,2024-01-03,3,Wallet,Delivered,7,286,7341,2946
228,3899,751,188,2024-12-14,2,COD,Delivered,3,222,400,114
229,3687,1091,210,2025-02-06,3,Debit Card,Delivered,5,253,12027,4560
230,1770,804,15,2025-04-13,3,Debit Card,Delivered,5,66,7155,2031
231,3077,659,224,2024-09-01,2,Wallet,Delivered,6,262,280,72
232,4680,1364,213,2025-04-08,3,Credit Card,Delivered,6,147,7290,2946
233,488,349,115,2025-02-01,1,Debit Card,Delivered,4,61,2054,598
234,3321,1459,93,2024-01-29,1,Wallet,Delivered,8,117,1430,409
235,3392,1179,224,2024-05-02,2,Wallet,Delivered,7,205,2672,444
236,3901,690,69,2025-04-15,3,Debit Card,Delivered,5,95,11301,4428
237,1604,925,63,2024-09-29,3,Debit Card,Delivered,2,71,2934,690
238,4000,53,264,2025-02-10,3,Wallet,Delivered,3,197,7470,1968
239,760,1240,208,2024-11-14,1,UPI,Delivered,6,231,394,161
240,2047,1278,134,2024-07-24,1,COD,Delivered,8,129,1366,314
241,146,1238,25,2024-10-11,1,Wallet,Delivered,8,94,1392,184
242,1389,57,30,2025-05-04,3,Debit Card,Cancelled,5,133,6894,993
243,3824,422,137,2024-04-18,3,Wallet,Delivered,4,140,3978,1074
244,1849,757,248,2024-05-12,1,COD,Delivered,5,160,1969,747
245,2892,988,72,2024-02-02,1,Credit Card,Delivered,4,21,357,97
246,1284,751,188,2025-02-18,3,UPI,Delivered,4,59,600,171
247,2843,1013,190,2025-03-03,2,COD,Returned,4,76,2754,966
248,790,207,208,2024-09-14,3,UPI,Delivered,6,40,2901,876
249,4249,598,94,2025-05-21,1,Credit Card,Delivered,4,126,2809,1077
250,199,93,126,2024-09-05,1,COD,Delivered,8,171,392,103
251,968,403,215,2024-03-19,3,UPI,Delivered,6,136,2007,783
252,4766,575,17,2025-01-20,3,UPI,Delivered,2,23,8331,1692
253,898,938,284,2024-01-29,3,Wallet,Delivered,4,279,1890,471
254,98,637,51,2024-11-23,2,COD,Delivered,3,14,2994,1066
255,509,1122,246,2024-01-18,2,UPI,Delivered,5,172,1520,600
256,2767,1274,156,2025-04-14,3,UPI,Delivered,3,2,7317,1374
257,847,823,225,2025-06-02,3,Wallet,Delivered,8,210,8091,1650
258,3980,104,233,2025-02-15,2,Wallet,Delivered,2,133,5318,2086
259,4493,55,19,2024-02-27,3,UPI,Delivered,3,158,4086,1527
260,1567,739,147,2024-06-17,2,Debit Card,Delivered,5,121,3128,1082
261,4637,975,200,2024-07-10,3,Wallet,Returned,5,6,3540,654
262,2938,1016,249,2025-03-11,3,UPI,Delivered,5,116,1854,438
263,4945,128,224,2024-01-07,2,Credit Card,Delivered,5,12,5646,2146
264,206,116,214,2024-09-22,1,COD,Delivered,2,98,2837,573
265,49,470,160,2025-04-05,2,UPI,Delivered,3,122,3514,1408
266,4597,1488,171,2024-01-11,2,COD,Delivered,4,4,5372,1404
267,4910,1165,39,2025-06-11,3,COD,Cancelled,6,213,10218,4371
268,2188,1326,136,2024-11-23,1,COD,Delivered,7,179,3064,591
269,357,909,134,2024-11-09,1,UPI,Delivered,3,266,121,35
270,73,1226,218,2024-08-21,3,UPI,Cancelled,6,204,4845,2094
271,4783,1269,166,2024-09-29,3,COD,Delivered,6,249,1440,360
272,1201,978,219,2024-07-18,2,COD,Delivered,2,295,4224,1556
273,2347,1480,122,2025-03-01,3,UPI,Delivered,3,44,1503,555
274,1893,1165,39,2024-12-21,2,COD,Delivered,2,121,6812,2914
275,2144,142,207,2024-01-04,3,UPI,Delivered,3,116,6423,1500
276,970,453,285,2025-05-09,1,Credit Card,Delivered,5,205,1850,480
277,4827,205,29,2024-06-08,2,Wallet,Delivered,8,10,2982,1318
278,4651,529,144,2024-10-26,2,Debit Card,Delivered,6,128,4690,1560
279,260,490,290,2024-12-20,1,Debit Card,Delivered,2,280,2539,464
280,3952,450,38,2024-12-11,2,Debit Card,Delivered,7,57,264,60
281,1026,1092,34,2025-04-15,1,UPI,Delivered,8,11,641,260
282,2014,626,60,2024-09-26,2,COD,Delivered,5,146,6786,2598
283,1392,765,163,2025-01-10,3,Wallet,Cancelled,3,294,1938,615
284,3965,899,67,2025-05-22,3,Debit Card,Delivered,3,8,6996,2679
285,4566,647,32,2025-06-17,2,COD,Delivered,2,50,3364,1188
286,3451,460,291,2025-01-15,1,UPI,Delivered,2,214,1941,393
287,710,1366,233,2024-04-01,2,Wallet,Delivered,7,240,2500,1044
288,3470,1403,39,2024-02-08,2,Credit Card,Delivered,7,169,6402,1754
289,751,780,174,2025-03-10,1,Wallet,Returned,3,41,2404,754
290,3050,921,79,2024-01-27,1,Wallet,Delivered,4,232,1712,575
291,3591,1312,181,2025-06-21,1,COD,Delivered,6,152,2874,842
292,2839,269,92,2024-05-08,1,Debit Card,Delivered,4,253,2759,621
293,2133,1131,103,2024-10-03,1,Credit Card,Delivered,7,188,3582,1169
294,172,380,43,2025-02-08,2,UPI,Returned,8,253,4270,1860
295,2266,728,117,2024-12-20,1,COD,Delivered,2,151,436,168
296,1773,178,123,2024-04-20,2,Wallet,Delivered,8,11,5016,1380
297,3938,978,219,2024-12-25,1,UPI,Delivered,6,145,2112,778
298,1248,515,49,2024-04-30,3,Credit Card,Delivered,7,158,6861,1983
299,4633,1402,224,2024-04-22,2,UPI,Delivered,3,125,2444,680
300,2523,592,258,2024-04-13,3,UPI,Delivered,5,97,5778,1788
301,3302,70,147,2024-07-18,2,COD,Cancelled,5,176,3992,1482
302,2117,1221,207,2024-03-29,1,Credit Card,Delivered,5,291,1464,537
303,1388,184,277,2025-04-15,1,Debit Card,Delivered,6,89,2005,408
304,3534,1109,247,2024-10-26,3,Credit Card,Delivered,2,20,3522,1431
305,4644,814,208,2025-02-01,2,COD,Delivered,3,297,3570,1176
306,1888,1081,115,2024-01-03,3,UPI,Delivered,7,168,6750,1611
307,2391,347,152,2024-02-15,1,UPI,Delivered,5,175,1041,370
308,4434,1080,114,2024-03-30,3,Wallet,Delivered,4,270,8358,3300
309,2440,323,5,2024-10-03,3,Debit Card,Delivered,4,47,7776,1596
310,1556,655,248,2024-05-05,1,Credit Card,Delivered,8,167,2376,550
311,2419,517,139,2025-05-20,1,COD,Delivered,2,173,711,155
312,1015,997,29,2024-03-31,1,UPI,Delivered,4,200,3079,1232
313,4920,1488,171,2025-01-09,2,Debit Card,Delivered,2,244,5372,1404
314,3654,883,88,2024-10-12,2,UPI,Returned,2,68,6004,1586
315,391,658,112,2025-04-20,2,UPI,Delivered,6,237,3818,886
316,3297,428,59,2025-06-15,2,COD,Cancelled,7,296,6256,1566
317,4512,1156,297,2024-07-15,3,UPI,Cancelled,7,298,6171,1512
318,1396,790,109,2025-02-08,1,Wallet,Delivered,4,244,1912,405
319,3155,950,235,2024-06-14,3,Debit Card,Returned,4,87,3027,543
320,619,981,36,2024-12-12,2,Wallet,Delivered,8,161,832,142
321,2632,444,96,2024-07-26,1,COD,Cancelled,8,270,2042,879
322,2631,985,14,2025-02-11,3,UPI,Delivered,6,213,3633,1278
323,1741,81,12,2025-05-05,1,Wallet,Delivered,4,206,1478,621
324,2098,969,42,2025-03-26,3,COD,Delivered,3,299,3012,1209
325,2884,940,166,2024-08-10,2,Wallet,Delivered,6,165,706,218
326,3687,80,267,2024-06-28,3,COD,Delivered,8,229,3906,1473
327,2919,686,11,2025-01-02,2,Wallet,Returned,4,77,1950,574
328,4485,584,237,2024-04-10,2,COD,Delivered,5,296,2594,1150
329,4613,255,106,2025-04-10,1,Credit Card,Delivered,6,121,2256,303
330,4584,413,184,2025-03-03,3,COD,Delivered,7,255,1209,366
331,4080,4,251,2024-06-25,2,COD,Delivered,2,289,6558,1708
332,4396,272,222,2024-10-06,2,COD,Delivered,3,82,5332,1794
333,2648,1351,233,2024-11-03,2,Wallet,Cancelled,7,263,2286,922
334,3649,934,50,2025-03-10,1,Credit Card,Delivered,4,87,2556,960
335,336,940,166,2024-06-09,3,UPI,Delivered,7,91,1059,327
336,2341,148,129,2024-08-11,1,Debit Card,Cancelled,7,83,1355,583
337,934,659,224,2025-01-08,2,Debit Card,Delivered,8,265,280,72
338,589,982,127,2024-05-23,1,UPI,Delivered,3,127,909,333
339,1119,25,254,2024-09-04,2,COD,Delivered,5,285,4066,1138
340,4453,1493,230,2024-07-09,3,COD,Delivered,7,258,7107,1038
341,3741,606,191,2024-06-14,2,Debit Card,Delivered,2,156,6464,1580
342,1321,662,11,2024-07-27,1,Credit Card,Delivered,4,145,730,282
343,3997,266,272,2024-12-27,3,Credit Card,Delivered,2,246,993,249
344,1627,277,155,2024-08-20,3,Debit Card,Delivered,7,283,5895,2118
345,2783,30,263,2025-02-25,2,Debit Card,Delivered,8,10,7092,2262
346,3529,972,30,2025-04-14,3,Debit Card,Delivered,6,269,7710,3108
347,450,1283,11,2024-05-28,2,COD,Delivered,7,115,726,286
348,2651,1010,124,2024-01-06,3,COD,Delivered,3,24,2172,477
349,83,1408,82,2025-02-04,3,Debit Card,Returned,5,120,8106,1701
350,4565,1013,190,2024-06-02,2,Credit Card,Cancelled,2,88,2754,966
351,406,1163,264,2025-01-03,1,Wallet,Delivered,6,199,467,160
352,67,770,249,2024-02-23,2,Wallet,Delivered,5,133,6284,1690
353,2939,191,19,2024-12-10,2,Wallet,Delivered,3,150,4894,1876
354,4926,301,226,2025-01-06,1,Debit Card,Delivered,4,247,1093,254
355,1049,1484,130,2024-03-26,2,UPI,Delivered,5,262,616,226
356,78,870,190,2024-01-24,2,Wallet,Delivered,4,254,1864,696
357,933,1247,140,2024-06-07,2,UPI,Delivered,5,253,2546,1008
358,4429,1423,59,2025-01-27,1,Credit Card,Delivered,4,186,2216,584
359,4319,382,106,2024-12-19,3,COD,Delivered,7,133,4866,816
360,899,1085,181,2024-12-30,1,UPI,Cancelled,5,287,1740,607
361,1026,94,28,2025-02-01,3,Credit Card,Delivered,8,146,9054,3309
362,2635,666,228,2025-02-19,3,Credit Card,Delivered,2,7,8682,2904
363,4318,788,139,2025-05-14,1,UPI,Delivered,4,132,1662,572
364,1367,339,36,2024-07-13,1,Debit Card,Delivered,6,38,2486,843
365,2941,88,266,2025-03-22,3,UPI,Delivered,7,177,7848,3426
366,1245,758,229,2024-09-22,1,Debit Card,Cancelled,2,127,1669,441
367,3153,700,185,2024-07-01,1,COD,Delivered,7,148,911,202
368,1517,24,215,2024-12-06,2,UPI,Returned,8,17,3548,1560
369,108,985,14,2024-02-08,1,Credit Card,Delivered,5,258,1211,426
370,2981,654,289,2025-01-18,3,UPI,Delivered,7,167,5982,1884
371,2092,697,35,2024-05-16,2,UPI,Cancelled,6,263,2636,936
