Return_ID,Order_ID,Return_Date,Return_Reason,Refund_Amount
64,1035,2024-03-12,Changed Mind,2995
65,1038,2024-07-28,Size Issue,6560
66,1045,2025-05-22,Damaged,4332
67,1050,2024-02-05,Damaged,2837
68,1099,2025-02-09,Damaged,9120
69,1101,2024-12-16,Changed Mind,8025
70,1115,2025-02-14,Changed Mind,822
71,1121,2024-02-17,Size Issue,12744
72,1122,2024-09-18,Changed Mind,5666
73,1132,2025-02-01,Wrong Item,252
74,1153,2024-02-12,Size Issue,6172
75,1170,2025-06-11,Changed Mind,1497
76,1201,2024-09-27,Size Issue,6981
77,1207,2024-12-01,Changed Mind,5462
78,1254,2024-02-11,Changed Mind,1152
79,1267,2024-10-31,Size Issue,9828
80,1286,2025-06-20,Changed Mind,1890
81,1288,2024-01-13,Changed Mind,9108
82,1298,2024-06-12,Wrong Item,6518
83,1313,2024-09-21,Wrong Item,5895
84,1331,2024-03-24,Size Issue,3463
85,1363,2025-04-13,Changed Mind,1151
86,1393,2025-01-28,Wrong Item,2479
87,1396,2025-06-15,Changed Mind,658
88,1413,2025-05-15,Changed Mind,6518
89,1461,2024-08-02,Damaged,6004
90,1476,2025-03-11,Damaged,2492
91,1480,2024-02-26,Damaged,6898
92,1481,2024-07-29,Size Issue,4860
93,1486,2025-02-12,Size Issue,6222
94,1505,2024-01-12,Changed Mind,2378
95,1508,2025-02-15,Size Issue,3423
96,1560,2025-01-28,Damaged,3128
97,1582,2024-08-19,Wrong Item,4734
98,1586,2024-08-16,Changed Mind,1117
99,1642,2024-04-16,Size Issue,4352
100,1643,2024-09-17,Changed Mind,1861
101,1647,2024-01-26,Wrong Item,5661
102,1648,2025-05-25,Size Issue,2108
103,1650,2024-07-02,Damaged,406
104,1679,2024-09-21,Changed Mind,1250
105,1685,2025-05-29,Changed Mind,1666
106,1702,2024-03-10,Changed Mind,4776
107,1714,2025-01-16,Wrong Item,11934
108,1752,2024-11-26,Damaged,1157
109,1755,2024-05-16,Damaged,2597
110,1758,2024-03-25,Wrong Item,7086
111,1765,2024-10-19,Wrong Item,3450
112,1783,2025-05-13,Wrong Item,1564
113,1794,2024-01-27,Size Issue,7308
114,1801,2024-01-27,Size Issue,1868
115,1808,2024-06-20,Damaged,10725
116,1870,2024-04-30,Damaged,1464
117,1895,2024-01-06,Changed Mind,1556
118,1897,2024-07-03,Damaged,2298
119,1906,2024-10-08,Changed Mind,8181
120,1910,2024-09-30,Changed Mind,6094
121,1915,2024-09-08,Size Issue,2414
122,1927,2025-06-04,Wrong Item,7998
123,1953,2024-08-05,Wrong Item,3587
124,1966,2024-01-01,Changed Mind,6704
125,1984,2025-03-02,Size Issue,1415
126,1995,2024-08-13,Changed Mind,1212
127,1997,2024-02-23,Damaged,4734
128,2038,2024-07-28,Damaged,7400
129,2041,2024-04-09,Damaged,3752
130,2046,2025-04-14,Size Issue,1522
131,2075,2024-01-02,Wrong Item,3645
132,2076,2024-07-11,Size Issue,3899
133,2079,2024-12-15,Changed Mind,3288
134,2093,2024-02-07,Changed Mind,374
135,2100,2024-05-17,Wrong Item,287
136,2119,2024-10-10,Size Issue,9999
137,2123,2025-01-06,Damaged,3045
138,2134,2024-01-13,Damaged,7299
139,2176,2024-02-15,Changed Mind,1479
140,2178,2024-01-05,Size Issue,3454
141,2190,2025-02-15,Damaged,3384
142,2238,2024-01-29,Changed Mind,6546
143,2257,2024-09-11,Wrong Item,6292
144,2268,2025-02-03,Damaged,3729
145,2269,2025-06-22,Changed Mind,1297
146,2293,2024-01-04,Wrong Item,245
147,2306,2025-05-21,Wrong Item,6164
148,2319,2024-05-15,Size Issue,556
149,2332,2024-03-25,Damaged,4131
150,2364,2024-07-18,Changed Mind,414
151,2370,2024-03-21,Size Issue,411
152,2380,2024-02-26,Size Issue,4827
153,2500,2024-07-18,Size Issue,1564
154,2507,2024-12-09,Size Issue,6020
155,2510,2024-05-27,Wrong Item,960
156,2513,2024-11-28,Size Issue,4194
157,2526,2025-02-02,Damaged,1923
158,2546,2024-05-24,Changed Mind,1493
159,2559,2024-02-25,Changed Mind,12027
160,2577,2025-03-29,Changed Mind,5126
161,2578,2024-12-07,Damaged,2762
162,2592,2025-06-17,Changed Mind,10023
163,2598,2024-08-10,Damaged,4803
164,2602,2025-04-16,Changed Mind,2971
165,2636,2024-04-15,Size Issue,2930
166,2648,2024-01-15,Size Issue,9666
167,2649,2024-07-20,Changed Mind,2759
168,2677,2024-03-24,Changed Mind,3247
169,2678,2024-04-13,Size Issue,4749
170,2700,2025-03-07,Changed Mind,2617
171,2718,2025-04-24,Wrong Item,1050
172,2719,2024-08-02,Changed Mind,1812
173,2727,2024-04-01,Changed Mind,2523
174,2750,2024-11-03,Size Issue,5874
175,2751,2025-04-10,Wrong Item,7530
176,2772,2024-03-25,Wrong Item,10899
177,2788,2025-05-04,Changed Mind,2604
178,2831,2024-12-28,Wrong Item,3503
179,2873,2024-03-12,Wrong Item,5112
180,2899,2024-12-20,Size Issue,6080
181,2915,2024-06-19,Damaged,7077
182,3007,2024-10-28,Size Issue,8018
183,3011,2024-12-06,Wrong Item,2346
184,3122,2024-11-07,Changed Mind,612
185,3123,2024-11-15,Wrong Item,10086
186,3142,2024-02-09,Wrong Item,5078
187,3149,2024-06-23,Changed Mind,3378
188,3169,2024-01-02,Changed Mind,3838
189,3170,2025-01-25,Damaged,840
190,3200,2024-01-12,Damaged,1850
191,3207,2024-09-20,Damaged,504
192,3215,2024-09-01,Wrong Item,6963
193,3223,2024-05-18,Size Issue,2736
194,3237,2025-01-20,Size Issue,2363
195,3241,2025-03-15,Changed Mind,1285
196,3267,2024-11-22,Wrong Item,476
197,3284,2025-04-08,Changed Mind,7668
198,3291,2024-10-14,Damaged,3024
199,3316,2025-06-20,Wrong Item,2727
200,3324,2024-08-27,Damaged,1182
201,3329,2024-02-24,Damaged,1589
202,3341,2024-11-13,Size Issue,2930
203,3342,2024-11-05,Size Issue,3858
204,3348,2025-05-15,Wrong Item,2816
205,3350,2024-06-19,Damaged,1282
206,3373,2024-10-05,Damaged,2822
207,3376,2024-10-27,Changed Mind,1773
208,3378,2024-11-24,Changed Mind,3333
209,3419,2024-11-17,Changed Mind,3604
210,3425,2024-10-26,Changed Mind,9807
211,3438,2024-06-22,Changed Mind,2912
212,3440,2025-02-08,Changed Mind,5292
213,3472,2025-05-26,Wrong Item,1286
214,3515,2025-03-02,Damaged,1170
215,3530,2025-06-03,Wrong Item,1194
216,3540,2024-07-10,Size Issue,2135
217,3543,2025-03-11,Changed Mind,3373
218,3544,2025-06-10,Damaged,2418
219,3546,2024-12-24,Size Issue,760
220,3550,2025-03-15,Wrong Item,5580
221,3558,2024-05-02,Wrong Item,1365
222,3578,2025-01-01,Size Issue,8877
223,3584,2024-01-03,Damaged,2762
224,3596,2024-08-27,Damaged,567
225,3613,2025-01-17,Damaged,830
226,3636,2024-02-10,Damaged,10743
227,3651,2024-11-20,Size Issue,5061
228,3677,2025-02-17,Size Issue,641
229,3692,2024-02-15,Changed Mind,2098
230,3700,2024-07-16,Size Issue,544
231,3726,2024-07-02,Size Issue,761
232,3736,2024-09-30,Changed Mind,1314
233,3738,2025-02-28,Wrong Item,1566
234,3746,2024-07-09,Changed Mind,2710
235,3762,2024-02-16,Damaged,2677
236,3788,2025-06-12,Damaged,1134
237,3819,2024-08-09,Size Issue,4324
238,3855,2024-02-07,Changed Mind,3972
239,3921,2024-12-05,Size Issue,1847
240,3959,2025-02-18,Damaged,1156
241,3993,2024-05-19,Changed Mind,4548
242,4032,2024-01-09,Damaged,1323
243,4058,2024-09-17,Damaged,2619
244,4081,2024-12-20,Damaged,1678
245,4095,2024-01-05,Damaged,1858
246,4130,2024-05-23,Size Issue,9321
247,4131,2024-06-17,Wrong Item,8688
248,4210,2024-07-22,Size Issue,480
249,4225,2024-01-25,Damaged,2856
250,4242,2024-04-12,Changed Mind,5373
251,4262,2024-03-24,Damaged,2724
252,4296,2024-01-15,Wrong Item,2397
253,4304,2024-03-08,Wrong Item,3678
254,4382,2024-06-01,Wrong Item,7212
255,4402,2024-03-08,Changed Mind,3237
256,4417,2025-01-21,Wrong Item,3652
257,4430,2025-03-19,Wrong Item,6346
258,4436,2024-09-18,Wrong Item,6566
259,4441,2024-06-28,Changed Mind,3846
260,4459,2024-05-08,Wrong Item,1490
261,4463,2024-09-16,Changed Mind,2451
262,4467,2024-07-01,Damaged,3124
263,4473,2025-02-14,Damaged,2154
264,4486,2025-04-07,Damaged,8751
265,4513,2024-03-10,Wrong Item,4749
266,4514,2024-08-16,Changed Mind,8274
267,4539,2024-09-15,Changed Mind,1711
268,4542,2025-04-06,Damaged,2149
269,4557,2025-03-16,Size Issue,2808
270,4597,2025-03-17,Changed Mind,900
271,4599,2025-06-03,Damaged,8427
272,4622,2025-06-23,Wrong Item,530
273,4623,2025-05-07,Damaged,645
274,4633,2024-01-08,Wrong Item,726
275,4638,2024-11-24,Size Issue,2556
276,4642,2025-01-23,Changed Mind,8913
277,4673,2024-01-27,Changed Mind,1301
278,4695,2024-01-14,Damaged,4000
279,4700,2025-05-16,Wrong Item,7209
280,4729,2025-02-15,Size Issue,2418
281,4740,2024-04-12,Size Issue,4924
282,4752,2024-10-02,Changed Mind,2572
283,4764,2024-10-18,Damaged,590
284,4775,2024-07-30,Size Issue,1794
285,4780,2024-05-03,Wrong Item,1356
286,4783,2024-04-27,Wrong Item,2985
287,4836,2024-07-31,Wrong Item,2648
288,4845,2024-03-08,Damaged,550
289,4849,2025-05-27,Size Issue,8511
290,4866,2025-06-24,Wrong Item,2349
291,4899,2024-12-11,Damaged,206
292,4902,2024-07-19,Changed Mind,1821
293,4909,2024-02-22,Damaged,7482
294,4920,2024-03-18,Damaged,5553
295,4960,2024-05-13,Size Issue,339
296,4964,2024-02-12,Size Issue,2216
297,4983,2024-01-18,Damaged,2866
298,5002,2024-10-06,Size Issue,326
299,5055,2025-02-16,Wrong Item,2901
300,5059,2024-09-05,Size Issue,1408
301,5106,2025-05-16,Changed Mind,4332
302,5111,2024-06-19,Changed Mind,7299
303,5141,2024-04-22,Size Issue,2304
304,5149,2024-09-23,Size Issue,2450
305,5175,2025-03-11,Size Issue,3774
306,5200,2024-06-17,Wrong Item,2892
307,5303,2024-02-08,Changed Mind,6026
308,5322,2024-10-21,Wrong Item,2541
309,5350,2024-09-30,Size Issue,7743
310,5367,2024-02-06,Changed Mind,745
311,5382,2024-02-05,Damaged,7164
312,5383,2024-09-09,Size Issue,9573
313,5407,2025-02-24,Damaged,363
314,5420,2025-02-09,Changed Mind,3034
315,5433,2024-12-22,Changed Mind,2374
316,5456,2024-06-20,Changed Mind,834
317,5464,2024-11-30,Damaged,6933
318,5467,2024-04-13,Changed Mind,5991
319,5482,2025-06-19,Damaged,5277
320,5494,2024-06-25,Changed Mind,1959
321,5507,2024-09-12,Size Issue,763
322,5520,2025-05-23,Damaged,2447
323,5549,2024-10-30,Wrong Item,3587
324,5623,2025-03-26,Size Issue,2325
325,5626,2024-11-15,Wrong Item,444
326,5636,2025-06-11,Size Issue,2124
327,5671,2025-02-27,Wrong Item,2672
328,5677,2024-08-18,Wrong Item,1504
329,5679,2024-05-31,Size Issue,793
330,5684,2024-12-25,Changed Mind,5674
331,5706,2024-10-19,Wrong Item,3374
332,5718,2024-07-04,Damaged,6112
333,5730,2025-03-05,Wrong Item,1952
334,5754,2024-03-06,Damaged,7032
335,5755,2024-03-31,Wrong Item,10983
336,5771,2024-07-18,Changed Mind,2114
337,5785,2024-02-16,Damaged,2064
338,5802,2024-08-21,Size Issue,3810
339,5806,2024-01-29,Wrong Item,9219
340,5854,2025-06-20,Changed Mind,3791
341,5882,2024-11-02,Damaged,1602
342,5912,2025-03-31,Changed Mind,2614
343,5938,2024-09-02,Damaged,703
344,5942,2024-06-01,Damaged,8139
345,5956,2024-11-28,Wrong Item,573
346,5961,2025-01-20,Size Issue,4152
347,5963,2024-12-26,Changed Mind,1128
348,5965,2024-03-25,Changed Mind,1423
349,5971,2024-05-17,Changed Mind,1067
350,5999,2025-03-25,Size Issue,564
351,6004,2024-10-15,Size Issue,3340
352,6056,2025-02-04,Wrong Item,924
353,6059,2025-06-19,Damaged,4088
354,6060,2024-11-14,Changed Mind,1880
355,6073,2024-07-20,Size Issue,8196
356,6109,2024-09-28,Damaged,1849
357,6121,2024-07-04,Changed Mind,2958
358,6145,2024-09-20,Damaged,8397
359,6146,2024-07-06,Wrong Item,3279
360,6170,2024-06-26,Damaged,4534
361,6188,2024-04-18,Wrong Item,2166
362,6208,2024-11-10,Damaged,6069
363,6211,2024-09-11,Size Issue,3460
364,6246,2024-07-03,Wrong Item,5142
365,6260,2025-04-01,Wrong Item,2282
366,6277,2025-03-06,Damaged,5541
367,6314,2025-04-05,Size Issue,1836
368,6331,2024-07-08,Changed Mind,2876
369,6370,2024-10-11,Changed Mind,1253
370,6373,2024-12-06,Damaged,4017
371,6384,2025-01-31,Changed Mind,7134
372,6409,2024-03-02,Changed Mind,2069
373,6429,2025-01-17,Size Issue,2523
374,6433,2025-04-09,Changed Mind,2832
375,6441,2024-11-26,Changed Mind,7743
376,6443,2025-04-12,Wrong Item,1994
377,6471,2025-04-29,Changed Mind,7209
378,6479,2024-04-03,Changed Mind,1100
379,6521,2024-03-14,Wrong Item,654
380,6531,2025-05-10,Damaged,4444
381,6548,2024-07-09,Changed Mind,3364
382,6601,2024-06-07,Wrong Item,8457
383,6603,2025-03-30,Changed Mind,10197
384,6608,2024-04-21,Damaged,458
385,6625,2025-06-13,Changed Mind,5511
386,6638,2025-06-24,Wrong Item,1135
387,6649,2024-11-06,Damaged,3510
388,6670,2025-04-15,Size Issue,10086
389,6686,2024-05-05,Size Issue,4690
390,6700,2024-11-19,Damaged,6914
391,6713,2025-06-06,Changed Mind,6508
392,6714,2024-05-14,Damaged,7191
393,6724,2024-12-04,Damaged,2691
394,6763,2024-01-20,Size Issue,606
395,6769,2024-09-20,Damaged,7188
396,6799,2024-02-14,Size Issue,4800
397,6807,2024-09-14,Damaged,2128
398,6845,2024-05-07,Damaged,2288
399,6847,2024-06-03,Changed Mind,2994
400,6849,2025-05-05,Damaged,10716
401,6876,2024-08-23,Wrong Item,4800
402,6912,2024-11-30,Damaged,6860
403,6917,2024-10-16,Changed Mind,687
404,6924,2024-03-10,Changed Mind,2637
405,6931,2025-04-28,Changed Mind,1350
406,6935,2024-12-23,Size Issue,3450
407,6942,2024-03-27,Wrong Item,209
408,6943,2024-12-04,Damaged,1540
409,6947,2024-10-03,Damaged,1837
410,6959,2024-08-21,Size Issue,3519
411,6964,2024-06-19,Size Issue,7668
412,7002,2024-09-30,Wrong Item,1287
413,7025,2025-01-13,Damaged,5481
414,7041,2024-12-03,Wrong Item,4032
415,7042,2024-09-29,Size Issue,2298
416,7065,2025-02-08,Changed Mind,3858
417,7086,2025-06-16,Damaged,9120
418,7111,2025-04-01,Size Issue,4686
419,7159,2024-11-11,Wrong Item,7968
420,7163,2024-11-16,Damaged,2727
421,7183,2024-07-20,Wrong Item,8160
422,7187,2024-12-01,Changed Mind,3184
423,7191,2024-03-04,Damaged,2393
424,7215,2024-02-13,Size Issue,9996
425,7225,2025-01-31,Changed Mind,7584
426,7251,2024-12-15,Size Issue,4160
427,7272,2024-07-09,Size Issue,2717
428,7275,2024-11-04,Wrong Item,2433
429,7290,2025-05-08,Wrong Item,5146
430,7296,2024-05-14,Damaged,8292
431,7299,2024-03-21,Damaged,1105
432,7315,2025-06-23,Damaged,2605
433,7320,2024-10-30,Damaged,3716
434,7328,2024-11-25,Wrong Item,735
435,7332,2024-05-21,Damaged,1837
436,7338,2024-03-04,Size Issue,3514
437,7350,2024-01-05,Size Issue,5988
438,7371,2025-06-08,Changed Mind,3283
439,7431,2024-01-06,Wrong Item,2016
440,7440,2024-01-24,Wrong Item,416
441,7523,2024-10-05,Damaged,9378
442,7524,2025-02-22,Changed Mind,2414
443,7556,2024-08-11,Changed Mind,1269
444,7558,2024-11-15,Damaged,10041
445,7570,2024-06-04,Changed Mind,411
446,7578,2024-01-13,Size Issue,1822
447,7596,2025-03-06,Changed Mind,1209
448,7607,2025-03-11,Changed Mind,790
449,7619,2025-06-08,Damaged,3356
450,7641,2025-05-06,Changed Mind,6854
451,7642,2024-01-26,Size Issue,662
452,7668,2025-05-29,Changed Mind,5982
453,7675,2025-01-29,Wrong Item,7212
454,7685,2024-10-05,Damaged,6702
455,7696,2025-06-20,Damaged,5181
456,7708,2025-05-14,Damaged,5014
457,7722,2025-05-07,Size Issue,273
458,7740,2024-03-09,Damaged,8166
459,7762,2024-11-28,Wrong Item,2114
460,7783,2024-04-11,Wrong Item,2154
461,7797,2025-03-02,Wrong Item,8355
462,7809,2025-04-20,Damaged,3006
463,7823,2024-01-13,Damaged,414
464,7862,2024-07-07,Damaged,7359
465,7939,2024-05-04,Changed Mind,993
466,7972,2024-11-06,Wrong Item,1559
467,7973,2025-03-27,Changed Mind,9321
468,7978,2025-05-18,Size Issue,1170
469,7984,2024-07-20,Changed Mind,2500
470,7985,2024-02-19,Changed Mind,2363
471,7986,2025-04-10,Size Issue,5730
472,7991,2024-09-17,Wrong Item,1001
473,8000,2024-07-30,Changed Mind,3226
474,8007,2024-06-23,Size Issue,3824
475,8014,2025-05-30,Damaged,470
476,8018,2024-05-06,Wrong Item,4392
477,8022,2025-06-12,Size Issue,8946
478,8025,2024-04-15,Size Issue,3486
479,8026,2025-01-03,Size Issue,1804
480,8042,2025-02-23,Wrong Item,5265
481,8044,2025-04-23,Changed Mind,4392
482,8072,2025-01-20,Wrong Item,6020
483,8079,2024-06-25,Size Issue,1135
484,8099,2025-03-06,Damaged,1798
485,8107,2025-06-17,Wrong Item,2280
486,8115,2024-08-22,Changed Mind,759
487,8128,2025-01-27,Wrong Item,3748
488,8131,2024-02-23,Wrong Item,3362
489,8145,2024-04-27,Damaged,1727
490,8156,2024-12-26,Changed Mind,9573
491,8170,2025-02-21,Size Issue,2418
492,8179,2025-02-06,Damaged,6140
493,8215,2025-06-02,Damaged,3780
494,8221,2024-07-15,Changed Mind,3600
495,8246,2024-07-14,Size Issue,3552
496,8252,2024-10-07,Wrong Item,11583
497,8260,2024-09-04,Damaged,735
498,8306,2025-06-15,Damaged,3618
499,8315,2025-05-10,Damaged,2487
500,8335,2024-05-03,Wrong Item,2612
501,8345,2024-10-19,Wrong Item,5235
502,8393,2024-05-21,Wrong Item,4395
503,8394,2024-08-07,Wrong Item,295
504,8433,2024-08-25,Changed Mind,4366
505,8458,2024-03-03,Size Issue,10143
506,8483,2024-08-09,Size Issue,1994
507,8486,2025-03-27,Damaged,1282
508,8495,2024-04-03,Changed Mind,300
509,8538,2024-12-12,Wrong Item,1594
510,8546,2025-04-04,Damaged,3548
511,8550,2024-02-27,Changed Mind,1997
512,8554,2025-01-07,Wrong Item,2385
513,8560,2025-03-13,Size Issue,3339
514,8579,2024-03-11,Damaged,1848
515,8580,2024-12-20,Damaged,4294
516,8581,2024-08-15,Size Issue,5751
517,8585,2024-11-10,Size Issue,9012
518,8681,2024-04-01,Wrong Item,2607
519,8684,2024-04-30,Size Issue,2584
520,8693,2024-03-07,Damaged,6924
521,8732,2024-02-25,Wrong Item,4270
522,8745,2025-05-01,Changed Mind,8979
523,8776,2024-07-02,Damaged,4353
524,8778,2024-04-14,Wrong Item,3612
525,8780,2025-06-06,Wrong Item,1100
526,8782,2024-06-23,Changed Mind,376
527,8787,2025-06-07,Wrong Item,1399
528,8790,2024-08-03,Changed Mind,1093
529,8792,2024-10-20,Wrong Item,3384
530,8799,2025-03-31,Wrong Item,5535
531,8801,2024-09-05,Size Issue,3014
532,8814,2025-01-02,Damaged,10656
533,8816,2024-06-28,Damaged,3744
534,8853,2024-02-03,Damaged,3501
535,8857,2024-12-26,Damaged,342
536,8872,2024-08-18,Wrong Item,2274
537,8893,2024-10-18,Size Issue,238
538,8899,2024-04-06,Wrong Item,1214
539,8982,2025-01-10,Size Issue,6276
540,8988,2025-05-10,Changed Mind,4238
541,8991,2025-03-26,Size Issue,3012
542,8996,2025-02-09,Damaged,3288
543,9004,2025-02-15,Wrong Item,896
544,9012,2024-04-17,Wrong Item,5043
545,9015,2025-06-02,Damaged,4178
546,9023,2024-11-15,Changed Mind,2348
547,9050,2024-10-27,Changed Mind,1560
548,9064,2024-03-30,Size Issue,4792
549,9106,2024-06-03,Damaged,7770
550,9151,2025-06-23,Changed Mind,9141
551,9182,2024-05-30,Damaged,3002
552,9208,2025-02-17,Wrong Item,687
553,9215,2024-02-26,Size Issue,345
554,9217,2025-04-11,Size Issue,2277
555,9236,2024-01-04,Size Issue,5002
556,9249,2025-01-24,Damaged,4233
557,9250,2025-01-30,Wrong Item,604
558,9290,2024-09-08,Wrong Item,6550
559,9339,2025-03-26,Size Issue,3427
560,9360,2024-08-02,Wrong Item,2043
561,9375,2024-03-17,Changed Mind,8631
562,9379,2025-02-08,Wrong Item,5778
563,9380,2024-12-19,Damaged,6788
564,9384,2025-04-13,Size Issue,2492
565,9397,2025-06-17,Damaged,5990
566,9416,2024-02-01,Size Issue,1282
567,9432,2025-04-02,Changed Mind,3293
568,9454,2024-12-21,Damaged,1209
569,9456,2025-04-10,Size Issue,8103
570,9478,2025-06-10,Damaged,120
571,9489,2025-05-22,Changed Mind,4062
572,9519,2024-05-12,Size Issue,3502
573,9528,2024-10-14,Wrong Item,1836
574,9536,2024-03-03,Wrong Item,1858
575,9558,2024-11-25,Changed Mind,1670
576,9580,2025-02-16,Wrong Item,272
577,9592,2025-04-19,Changed Mind,760
578,9600,2024-07-30,Wrong Item,1333
579,9610,2024-07-23,Size Issue,226
580,9618,2024-12-06,Changed Mind,9999
581,9627,2024-04-26,Size Issue,276
582,9630,2024-03-20,Wrong Item,2042
583,9642,2024-09-11,Wrong Item,1292
584,9644,2024-09-19,Changed Mind,4233
585,9661,2024-09-01,Changed Mind,4958
586,9671,2024-02-14,Size Issue,2910
587,9681,2024-04-02,Size Issue,1604
588,9701,2025-06-11,Wrong Item,4839
589,9724,2024-03-13,Changed Mind,2829
590,9734,2024-01-19,Changed Mind,753
591,9762,2024-11-11,Size Issue,1836
592,9773,2024-03-24,Changed Mind,2917
593,9783,2024-02-17,Changed Mind,894
594,9793,2024-10-01,Wrong Item,2404
595,9794,2025-05-04,Damaged,2018
596,9801,2024-08-03,Wrong Item,997
597,9805,2024-10-04,Wrong Item,1151
598,9816,2024-01-13,Size Issue,4851
599,9818,2024-11-06,Damaged,11361
600,9867,2024-06-27,Changed Mind,2304
601,9886,2024-02-28,Damaged,9828
602,9905,2025-01-29,Changed Mind,3272
603,9923,2024-03-11,Damaged,5016
604,9939,2024-09-03,Changed Mind,6924
605,9946,2025-01-29,Changed Mind,4548
606,9966,2024-09-18,Changed Mind,1060
607,9998,2025-04-18,Size Issue,10176
608,10027,2025-01-11,Wrong Item,730
609,10039,2024-02-08,Wrong Item,558
610,10075,2024-09-15,Changed Mind,905
611,10114,2024-11-12,Wrong Item,5748
612,10125,2024-04-05,Changed Mind,9381
613,10138,2024-10-08,Size Issue,6801
614,10145,2025-03-29,Changed Mind,6315
615,10156,2024-05-12,Changed Mind,6744
616,10167,2024-09-07,Changed Mind,6450
617,10197,2024-03-26,Size Issue,3480
618,10229,2024-05-11,Changed Mind,2039
619,10250,2024-07-15,Changed Mind,10389
620,10314,2024-08-27,Damaged,1243
621,10327,2025-01-09,Size Issue,4770
622,10328,2024-09-14,Damaged,5787
623,10335,2024-12-09,Wrong Item,1362
624,10356,2024-01-24,Damaged,3698
625,10376,2024-01-31,Wrong Item,5082
626,10474,2024-12-21,Changed Mind,681
627,10503,2024-12-02,Changed Mind,1904
628,10545,2024-09-06,Wrong Item,4479
629,10548,2024-04-18,Changed Mind,2772
630,10563,2024-02-12,Size Issue,5228
631,10574,2024-10-02,Size Issue,1948
632,10614,2025-01-08,Changed Mind,5796
633,10618,2025-06-22,Damaged,1806
634,10657,2024-08-30,Wrong Item,4654
635,10699,2025-01-05,Changed Mind,132
636,10717,2024-07-05,Size Issue,6012
637,10728,2024-12-01,Size Issue,7668
638,10740,2025-04-10,Changed Mind,8967
639,10749,2024-10-01,Size Issue,8961
640,10752,2024-07-04,Damaged,5244
641,10796,2024-08-10,Changed Mind,4851
642,10808,2024-07-18,Wrong Item,2757
643,10814,2024-03-16,Wrong Item,3918
644,10823,2025-05-22,Changed Mind,1506
645,10850,2024-09-23,Wrong Item,11361
646,10853,2025-05-09,Size Issue,3621
647,10855,2025-03-15,Damaged,229
648,10890,2024-01-22,Wrong Item,576
649,10906,2025-02-15,Changed Mind,3490
650,10910,2024-09-05,Damaged,3344
651,10934,2025-01-24,Size Issue,420
652,10956,2025-06-23,Damaged,5332
653,10961,2025-02-28,Changed Mind,2283
654,10980,2024-08-29,Size Issue,4794
655,10985,2025-02-19,Damaged,458
656,11037,2024-11-13,Damaged,876
657,11046,2024-05-12,Size Issue,770
658,11055,2024-04-22,Damaged,704
659,11095,2024-04-19,Damaged,2910
660,11110,2025-01-12,Changed Mind,753
661,11123,2024-04-29,Changed Mind,2400
662,11129,2024-05-02,Wrong Item,6852
